rota_ordenada,n,vmin,vmax,v_mean,v_std
SBBR-SBGR,35957,212.9769230769231,307.6333333333333,272.04959827536493,19.84578807485456
SBBR-SBRJ,34530,256.9384615384615,323.2451612903225,289.84244532276716,15.964750047397626
SBBR-SBSP,39167,235.515,310.5692307692308,276.5031278355298,17.738504339308854
SBCF-SBGR,24858,162.46666666666667,259.42258064516125,217.07907252498666,23.184545033430354
SBCF-SBSP,45774,182.66451612903225,265.434375,223.02497580608804,20.12324499597564
SBCT-SBGR,34802,132.29318181818184,215.58888888888887,179.9326820797462,19.454431799861425
SBCT-SBSP,38133,143.136,219.08571428571426,185.46739411369825,17.888316452576415
SBFZ-SBGR,32608,267.4967777777779,398.0387434554974,366.8476978197833,17.002728078907747
SBGL-SBGR,28568,120.0,218.21999999999997,171.37939130299733,22.367309904708957
SBGR-SBPA,39639,162.2847222222224,311.58666666666664,275.08259046226806,20.730742589042226
SBGR-SBRF,39318,193.11639344262284,395.7139534883721,353.85228478668165,23.74503516435133
SBGR-SBSV,43952,153.34279024927702,370.4409448818898,323.3283740780737,25.661897259161403
SBPA-SBSP,41654,244.51891891891893,327.00722891566267,285.88217269811577,19.660320439357875
SBRJ-SBSP,65072,151.87692307692308,236.928,195.2949464633491,20.322823044899227
